# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	17803
#@/user_id	cf997197-045b-493e-a5f1-5892b82db517
mqb 	见	c=6 d=1 t=15296
mqj 	刚	c=1 d=1 t=1854
mqjh 	刚	c=1 d=1 t=12446
mqq 	网	c=31 d=1.00001 t=17339
mqu 	岁	c=1 d=1 t=16159
mt 	几	c=2 d=1 t=11610
mta 	账	c=12 d=1.00215 t=10777
mtd 	峰	c=1 d=1 t=984
mty 	败	c=3 d=1.00004 t=9723
mw 	内	c=36 d=1.1104 t=17242
mww 	肉	c=1 d=1 t=7605
mym 	嵩	c=1 d=1 t=7212
n 	民	c=1 d=1 t=486
nae 	展	c=5 d=1 t=15045
naw 	殿	c=1 d=1 t=208
nd 	居	c=2 d=1.97531 t=15820
ndn 	忧	c=1 d=1 t=1686
nedd 	避孕套	c=1 d=1 t=4213
nf 	导	c=38 d=2.08157 t=16992
nfc 	层	c=1 d=1 t=8796
nge 	情	c=14 d=1.47616 t=16669
ngk 	司	c=16 d=3.3296 t=16255
ngkg 	悟	c=1 d=1 t=16256
nh 	收	c=10 d=1 t=17788
nhf 	遐	c=1 d=1 t=9774
nhgc 	收到	c=1 d=0.1 t=17789
nng 	己	c=4 d=1.84366 t=16265
nngn 	己	c=1 d=1 t=8498
nnh 	书	c=9 d=1.42493 t=16879
nnnn 	已	c=13 d=1.03996 t=17539
nnw 	快	c=6 d=1.73712 t=16781
nt 	必	c=7 d=2.57536 t=12838
ntc 	发	c=31 d=3.1252 t=16759
ntg 	性	c=32 d=1.00002 t=17653
ntk 	属	c=15 d=1.01583 t=15470
ntx 	悔	c=1 d=1 t=16445
nty 	改	c=30 d=1.00007 t=17377
nu 	习	c=7 d=1.00058 t=9847
nua 	屏	c=3 d=1 t=4269
nui 	飞	c=1 d=1 t=14099
nx 	尼	c=1 d=1 t=15768
ny 	心	c=39 d=3.43697 t=16989
nyi 	尺	c=2 d=1.99501 t=15803
nynn 	忙	c=2 d=1 t=16392
nyu 	尽	c=1 d=1 t=16639
o 	为	c=75 d=1.0025 t=17587
od 	类	c=36 d=1.98485 t=15377
odm 	烦	c=7 d=1 t=16386
og 	业	c=56 d=2.40686 t=17776
oge 	精	c=1 d=1 t=3198
ok 	炽	c=1 d=1 t=7458
old 	烟	c=2 d=1.96561 t=17365
on 	断	c=5 d=1 t=12489
ot 	烽	c=1 d=1 t=17479
ou 	料	c=3 d=1 t=12790
oug 	粒	c=1 d=1 t=5316
ov 	娄	c=1 d=1 t=17312
ovt 	数	c=36 d=5.10654 t=17422
p 	这	c=58 d=1.91027 t=16940
pam 	宽	c=1 d=1 t=1680
pb 	字	c=19 d=1.00991 t=14869
pe 	家	c=13 d=1.06983 t=16696
pei 	农	c=1 d=1 t=11799
pf 	守	c=1 d=1 t=13476
pfjs 	寨	c=1 d=1 t=13838
pfq 	完	c=25 d=1 t=17128
pfqf 	冠	c=4 d=1.0204 t=16821
pg 	定	c=58 d=1.02627 t=17802
pgn 	写	c=20 d=1.30761 t=17127
pgy 	宝	c=1 d=1 t=17124
ph 	寂	c=1 d=1 t=13335
pj 	审	c=6 d=1.01353 t=6151
pn 	官	c=2 d=1.99501 t=16460
pnt 	密	c=8 d=1.00093 t=11218
pp 	之	c=18 d=1.00777 t=15139
psu 	宋	c=3 d=1.19593 t=13966
pt 	客	c=12 d=1 t=17506
ptk 	客	c=1 d=1 t=10082
pu 	实	c=40 d=3.40463 t=17593
puh 	补	c=3 d=1.98409 t=9400
puhc 	被	c=7 d=2.832 t=12973
puw 	裕	c=4 d=2.39685 t=7513
pv 	安	c=14 d=1.90126 t=16620
pvs 	案	c=9 d=1.1964 t=10955
pw 	空	c=4 d=1 t=16590
pwd 	突	c=2 d=1 t=16724
pwt 	窗	c=7 d=1.08661 t=15950
pww 	容	c=22 d=1.35965 t=17243
px 	它	c=3 d=1.00712 t=16084
py 	社	c=4 d=1 t=16161
pym 	视	c=6 d=2.63521 t=11405
pynn 	礼	c=1 d=1 t=16678
q 	我	c=83 d=1.04737 t=17719
